supplier,year,month,week,purchase_date,invoice_id,store_code,store_name,network,category,product_group,article_description,grower,purchase_flow,origin,color,buy_price,selling_price,coefficient,margin,quantity,invoice_product_value,purchase_value,invoice_kind,total_purchase_amount,total_selling_amount,estimated_margin_amount
Rose Africa,2024,4,14,2024-04-01,632006,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Fleurs coupées,Orchidées,Orchidées premium,Grower C,Commande spéciale,Kenya,Mixte,5.1,12.74,2.5,213.92,28,356.72,142.8,Creditnota,142.79999999999998,356.72,213.92000000000004
Rose Africa,2024,10,43,2024-10-26,607786,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Tulipes,Lys premium,Grower C,Réassort,Italie,Rouge,6.14,12.91,2.1,365.58,54,697.14,331.56,Creditnota,331.56,697.14,365.58
VDV,2024,8,33,2024-08-17,628451,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Accessoires,Lys,Plantes vertes premium,Grower D,Réassort,Kenya,Rouge,3.35,6.64,1.98,572.46,174,1155.36,582.9,Creditnota,582.9,1155.36,572.4599999999999
Tulip Export,2024,3,9,2024-03-03,668989,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Bouquets,Tulipes,Roses premium,Grower A,Promotion,Espagne,Rouge,8.0,12.3,1.54,51.6,12,147.6,96.0,Creditnota,96.0,147.60000000000002,51.60000000000002
Tulip Export,2024,7,31,2024-07-29,657079,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Orchidées,Orchidées premium,Grower B,Stock,Italie,Mixte,4.89,9.22,1.89,1073.84,248,2286.56,1212.72,Factuur,1212.72,2286.56,1073.84
Rose Africa,2024,4,17,2024-04-28,604970,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Bouquets,Orchidées,Plantes vertes premium,Grower B,Réassort,Pays-Bas,Mixte,6.46,14.2,2.2,1284.84,166,2357.2,1072.36,Factuur,1072.36,2357.2,1284.84
Tulip Export,2024,4,17,2024-04-27,636675,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Roses,Plantes vertes premium,Grower C,Réassort,France,Rose,2.31,3.43,1.48,198.24,177,607.11,408.87,Factuur,408.87,607.11,198.24
Orchidées France,2024,3,13,2024-03-26,699138,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Fleurs coupées,Roses,Orchidées premium,Grower A,Commande spéciale,France,Rose,2.93,6.21,2.12,190.24,58,360.18,169.94,Creditnota,169.94,360.18,190.24
Flora Holland,2024,7,27,2024-07-05,673605,CF0021,MONCEAU FLEURS LYON,Franchise,Plantes,Plantes vertes,Tulipes premium,Grower B,Stock,Pays-Bas,Mixte,6.76,12.83,1.9,1129.02,186,2386.38,1257.36,Creditnota,1257.36,2386.38,1129.0200000000002
Tulip Export,2024,4,17,2024-04-23,674348,CF0021,MONCEAU FLEURS LYON,Succursale,Accessoires,Bouquets mixtes,Plantes vertes premium,Grower D,Commande spéciale,Kenya,Blanc,6.8,12.99,1.91,167.13,27,350.73,183.6,Factuur,183.6,350.73,167.13000000000002
Orchidées France,2024,5,20,2024-05-13,601248,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Fleurs coupées,Bouquets mixtes,Roses premium,Grower B,Commande spéciale,Kenya,Mixte,1.47,3.36,2.29,111.51,59,198.24,86.73,Factuur,86.73,198.23999999999998,111.50999999999998
Rose Africa,2024,5,21,2024-05-22,680828,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Plantes vertes,Orchidées premium,Grower C,Stock,Pays-Bas,Mixte,0.97,2.32,2.39,313.2,232,538.24,225.04,Creditnota,225.04,538.24,313.20000000000005
Flora Holland,2024,3,13,2024-03-28,687612,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Orchidées,Lys premium,Grower D,Stock,Pays-Bas,Vert,1.57,2.04,1.3,68.62,146,297.84,229.22,Creditnota,229.22,297.84000000000003,68.62000000000003
Orchidées France,2024,7,30,2024-07-26,611529,CF0021,MONCEAU FLEURS LYON,Succursale,Accessoires,Orchidées,Orchidées premium,Grower D,Promotion,Kenya,Rouge,7.86,10.91,1.39,454.45,149,1625.59,1171.14,Creditnota,1171.14,1625.59,454.4499999999998
Orchidées France,2024,9,40,2024-09-30,660456,HF001,HAPPY PARIS OPERA,Succursale,Fleurs coupées,Plantes vertes,Plantes vertes premium,Grower A,Commande spéciale,France,Mixte,4.24,10.29,2.43,1294.7,214,2202.06,907.36,Factuur,907.36,2202.06,1294.6999999999998
VDV,2024,8,35,2024-08-31,687379,HF001,HAPPY PARIS OPERA,Franchise,Fleurs coupées,Tulipes,Roses premium,Grower A,Commande spéciale,Pays-Bas,Jaune,1.61,2.62,1.63,182.81,181,474.22,291.41,Factuur,291.41,474.22,182.81
Rose Africa,2024,6,22,2024-06-02,621826,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Roses,Tulipes premium,Grower D,Promotion,Italie,Jaune,5.78,13.53,2.34,1488.0,192,2597.76,1109.76,Creditnota,1109.76,2597.7599999999998,1487.9999999999998
Rose Africa,2024,11,46,2024-11-12,601639,CF0021,MONCEAU FLEURS LYON,Franchise,Bouquets,Bouquets mixtes,Roses premium,Grower D,Stock,Espagne,Jaune,2.04,2.75,1.35,157.62,222,610.5,452.88,Factuur,452.88,610.5,157.62
Rose Africa,2024,7,28,2024-07-10,672713,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Bouquets,Tulipes,Tulipes premium,Grower D,Réassort,Pays-Bas,Rose,1.66,2.69,1.62,45.32,44,118.36,73.04,Factuur,73.03999999999999,118.36,45.32000000000001
Tulip Export,2024,7,28,2024-07-09,697950,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Bouquets,Bouquets mixtes,Roses premium,Grower B,Commande spéciale,Italie,Mixte,0.88,1.72,1.95,185.64,221,380.12,194.48,Creditnota,194.48,380.12,185.64000000000001
Flora Holland,2024,4,17,2024-04-26,607706,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Orchidées,Tulipes premium,Grower B,Commande spéciale,Pays-Bas,Rouge,1.6,2.9,1.81,157.3,121,350.9,193.6,Factuur,193.60000000000002,350.9,157.29999999999995
Rose Africa,2024,8,34,2024-08-23,690495,HF001,HAPPY PARIS OPERA,Succursale,Bouquets,Orchidées,Tulipes premium,Grower C,Commande spéciale,Italie,Jaune,2.14,3.58,1.67,318.24,221,791.18,472.94,Factuur,472.94000000000005,791.1800000000001,318.24
Tulip Export,2024,10,43,2024-10-24,605930,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Roses,Orchidées premium,Grower A,Réassort,Kenya,Rose,2.94,6.07,2.06,262.92,84,509.88,246.96,Creditnota,246.96,509.88,262.91999999999996
Rose Africa,2024,4,15,2024-04-09,613020,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Accessoires,Tulipes,Roses premium,Grower C,Réassort,Pays-Bas,Rose,4.97,9.11,1.83,45.54,11,100.21,54.67,Factuur,54.669999999999995,100.21,45.54
Orchidées France,2024,7,30,2024-07-23,602728,CF0021,MONCEAU FLEURS LYON,Franchise,Plantes,Lys,Tulipes premium,Grower A,Promotion,Espagne,Rose,5.28,12.01,2.27,410.53,61,732.61,322.08,Creditnota,322.08000000000004,732.61,410.53
Orchidées France,2024,11,46,2024-11-13,623980,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Bouquets,Roses,Tulipes premium,Grower C,Promotion,Pays-Bas,Vert,4.92,8.62,1.75,314.5,85,732.7,418.2,Factuur,418.2,732.6999999999999,314.49999999999994
VDV,2024,11,45,2024-11-05,634906,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Plantes,Roses,Lys premium,Grower A,Promotion,Kenya,Blanc,2.27,4.67,2.06,156.0,65,303.55,147.55,Factuur,147.55,303.55,156.0
Tulip Export,2024,12,52,2024-12-27,624564,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Bouquets mixtes,Tulipes premium,Grower A,Commande spéciale,Pays-Bas,Rose,1.54,3.4,2.21,373.86,201,683.4,309.54,Creditnota,309.54,683.4,373.85999999999996
Tulip Export,2024,6,23,2024-06-05,695206,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Accessoires,Tulipes,Tulipes premium,Grower B,Stock,Kenya,Vert,5.64,12.27,2.18,1531.53,231,2834.37,1302.84,Creditnota,1302.84,2834.37,1531.53
Tulip Export,2024,9,39,2024-09-23,697058,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Lys,Orchidées premium,Grower A,Réassort,Espagne,Rose,1.26,3.06,2.43,383.4,213,651.78,268.38,Creditnota,268.38,651.78,383.4
Flora Holland,2024,8,35,2024-08-30,605124,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Accessoires,Bouquets mixtes,Plantes vertes premium,Grower C,Commande spéciale,Kenya,Rose,1.13,1.87,1.65,125.8,170,317.9,192.1,Factuur,192.1,317.90000000000003,125.80000000000004
Orchidées France,2024,11,45,2024-11-05,607495,CF0021,MONCEAU FLEURS LYON,Franchise,Plantes,Orchidées,Roses premium,Grower B,Promotion,France,Blanc,0.93,1.7,1.83,13.09,17,28.9,15.81,Factuur,15.81,28.9,13.089999999999998
Orchidées France,2024,10,43,2024-10-27,603714,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Plantes vertes,Roses premium,Grower A,Réassort,Italie,Jaune,8.26,12.25,1.48,841.89,211,2584.75,1742.86,Factuur,1742.86,2584.75,841.8900000000001
Rose Africa,2024,3,10,2024-03-05,628943,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Bouquets,Tulipes,Plantes vertes premium,Grower D,Promotion,France,Vert,5.71,12.56,2.2,1287.8,188,2361.28,1073.48,Creditnota,1073.48,2361.28,1287.8000000000002
Orchidées France,2024,5,19,2024-05-11,696183,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Lys,Plantes vertes premium,Grower B,Réassort,Italie,Rouge,7.61,13.35,1.75,1314.46,229,3057.15,1742.69,Creditnota,1742.69,3057.15,1314.46
VDV,2024,1,1,2024-01-07,671774,HF001,HAPPY PARIS OPERA,Succursale,Accessoires,Orchidées,Orchidées premium,Grower A,Commande spéciale,Kenya,Rouge,5.8,10.98,1.89,419.58,81,889.38,469.8,Creditnota,469.8,889.38,419.58
Rose Africa,2024,5,22,2024-05-30,605668,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Lys,Tulipes premium,Grower B,Promotion,France,Mixte,6.32,13.21,2.09,881.92,128,1690.88,808.96,Factuur,808.96,1690.88,881.9200000000001
Orchidées France,2024,10,44,2024-10-31,678571,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Plantes vertes,Tulipes premium,Grower D,Promotion,Kenya,Blanc,2.69,4.43,1.65,220.98,127,562.61,341.63,Creditnota,341.63,562.61,220.98000000000002
Flora Holland,2024,9,36,2024-09-05,655481,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Bouquets,Roses,Orchidées premium,Grower B,Réassort,Kenya,Mixte,6.92,14.28,2.06,1236.48,168,2399.04,1162.56,Creditnota,1162.56,2399.04,1236.48
Orchidées France,2024,9,38,2024-09-21,659477,HF001,HAPPY PARIS OPERA,Franchise,Fleurs coupées,Orchidées,Bouquets mixtes premium,Grower A,Stock,Italie,Rose,1.52,2.9,1.91,117.3,85,246.5,129.2,Creditnota,129.2,246.5,117.30000000000001
Rose Africa,2024,10,42,2024-10-14,655464,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Fleurs coupées,Tulipes,Lys premium,Grower D,Promotion,France,Rose,2.5,3.87,1.55,180.84,132,510.84,330.0,Factuur,330.0,510.84000000000003,180.84000000000003
Tulip Export,2024,2,7,2024-02-16,616161,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Fleurs coupées,Lys,Roses premium,Grower A,Promotion,France,Jaune,8.22,20.45,2.49,758.26,62,1267.9,509.64,Creditnota,509.64000000000004,1267.8999999999999,758.2599999999998
Flora Holland,2024,1,4,2024-01-26,648415,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Tulipes,Orchidées premium,Grower D,Promotion,Kenya,Vert,6.21,10.5,1.69,634.92,148,1554.0,919.08,Factuur,919.08,1554.0,634.92
Rose Africa,2024,4,14,2024-04-02,631281,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Plantes,Roses,Orchidées premium,Grower A,Stock,Espagne,Jaune,7.61,15.49,2.04,1284.44,163,2524.87,1240.43,Factuur,1240.43,2524.87,1284.4399999999998
VDV,2024,3,11,2024-03-12,620936,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Bouquets,Bouquets mixtes,Bouquets mixtes premium,Grower D,Stock,Espagne,Mixte,6.97,17.3,2.48,578.48,56,968.8,390.32,Creditnota,390.32,968.8000000000001,578.48
Rose Africa,2024,6,24,2024-06-11,616353,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Plantes,Tulipes,Orchidées premium,Grower C,Stock,Espagne,Mixte,6.16,11.71,1.9,1320.9,238,2786.98,1466.08,Factuur,1466.08,2786.98,1320.9
Flora Holland,2024,9,36,2024-09-02,637346,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Fleurs coupées,Plantes vertes,Plantes vertes premium,Grower B,Réassort,Pays-Bas,Jaune,4.54,8.67,1.91,904.47,219,1898.73,994.26,Factuur,994.26,1898.73,904.47
Flora Holland,2024,5,20,2024-05-14,640170,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Plantes,Plantes vertes,Bouquets mixtes premium,Grower A,Commande spéciale,Italie,Vert,5.67,9.01,1.59,56.78,17,153.17,96.39,Creditnota,96.39,153.17,56.77999999999999
Orchidées France,2024,10,41,2024-10-12,647068,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Plantes,Bouquets mixtes,Roses premium,Grower C,Promotion,Espagne,Rouge,4.59,10.66,2.32,1165.44,192,2046.72,881.28,Factuur,881.28,2046.72,1165.44
Orchidées France,2024,6,26,2024-06-25,620026,CF0021,MONCEAU FLEURS LYON,Franchise,Plantes,Lys,Tulipes premium,Grower A,Réassort,France,Vert,5.95,12.31,2.07,419.76,66,812.46,392.7,Factuur,392.7,812.46,419.76000000000005
Orchidées France,2024,3,12,2024-03-18,614785,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Tulipes,Tulipes premium,Grower D,Réassort,France,Jaune,3.5,6.79,1.94,815.92,248,1683.92,868.0,Factuur,868.0,1683.92,815.9200000000001
Rose Africa,2024,9,37,2024-09-12,659610,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Tulipes,Tulipes premium,Grower D,Réassort,Italie,Mixte,7.61,10.73,1.41,84.24,27,289.71,205.47,Factuur,205.47,289.71000000000004,84.24000000000004
Flora Holland,2024,9,38,2024-09-19,613518,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Fleurs coupées,Plantes vertes,Lys premium,Grower A,Promotion,Espagne,Jaune,2.68,6.36,2.37,231.84,63,400.68,168.84,Creditnota,168.84,400.68,231.84
Tulip Export,2024,10,41,2024-10-07,629121,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Orchidées,Orchidées premium,Grower C,Promotion,Pays-Bas,Mixte,3.2,4.23,1.32,179.22,174,736.02,556.8,Creditnota,556.8000000000001,736.0200000000001,179.22000000000003
Tulip Export,2024,8,34,2024-08-25,613599,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Plantes,Lys,Orchidées premium,Grower C,Promotion,France,Mixte,1.39,1.84,1.32,93.15,207,380.88,287.73,Factuur,287.72999999999996,380.88,93.15000000000003
Orchidées France,2024,3,13,2024-03-26,685540,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Orchidées,Roses premium,Grower A,Commande spéciale,Pays-Bas,Rose,5.88,9.72,1.65,495.36,129,1253.88,758.52,Factuur,758.52,1253.88,495.3600000000001
VDV,2024,9,39,2024-09-26,635876,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Accessoires,Lys,Bouquets mixtes premium,Grower D,Réassort,Espagne,Jaune,3.23,6.4,1.98,763.97,241,1542.4,778.43,Factuur,778.43,1542.4,763.9700000000001
Rose Africa,2024,8,32,2024-08-11,681934,HF001,HAPPY PARIS OPERA,Succursale,Bouquets,Plantes vertes,Tulipes premium,Grower C,Stock,Kenya,Jaune,2.09,3.22,1.54,92.66,82,264.04,171.38,Factuur,171.38,264.04,92.66000000000003
VDV,2024,2,8,2024-02-23,657381,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Fleurs coupées,Roses,Lys premium,Grower B,Promotion,Espagne,Blanc,4.66,11.48,2.46,1248.06,183,2100.84,852.78,Factuur,852.78,2100.84,1248.0600000000002
Orchidées France,2024,2,9,2024-02-26,659008,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Accessoires,Tulipes,Lys premium,Grower D,Promotion,Italie,Vert,6.55,15.81,2.41,1527.9,165,2608.65,1080.75,Creditnota,1080.75,2608.65,1527.9
VDV,2024,12,51,2024-12-17,694554,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Bouquets mixtes,Tulipes premium,Grower C,Stock,Espagne,Jaune,3.75,6.97,1.86,122.36,38,264.86,142.5,Factuur,142.5,264.86,122.36000000000001
Orchidées France,2024,3,13,2024-03-27,696009,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Fleurs coupées,Plantes vertes,Roses premium,Grower C,Stock,Pays-Bas,Mixte,1.85,4.47,2.42,529.24,202,902.94,373.7,Creditnota,373.70000000000005,902.9399999999999,529.2399999999999
Rose Africa,2024,11,47,2024-11-22,629958,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Lys,Tulipes premium,Grower A,Stock,Kenya,Vert,1.7,2.33,1.37,112.14,178,414.74,302.6,Creditnota,302.59999999999997,414.74,112.14000000000004
Tulip Export,2024,11,48,2024-11-28,659928,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Orchidées,Tulipes premium,Grower A,Stock,Italie,Rouge,2.48,5.73,2.31,266.5,82,469.86,203.36,Creditnota,203.35999999999999,469.86,266.5
Tulip Export,2024,1,1,2024-01-03,683892,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Accessoires,Plantes vertes,Orchidées premium,Grower C,Stock,Kenya,Jaune,6.46,14.78,2.29,1381.12,166,2453.48,1072.36,Creditnota,1072.36,2453.48,1381.1200000000001
Rose Africa,2024,6,26,2024-06-24,642916,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Bouquets,Plantes vertes,Tulipes premium,Grower D,Réassort,Pays-Bas,Jaune,8.21,12.23,1.49,221.1,55,672.65,451.55,Creditnota,451.55000000000007,672.65,221.0999999999999
VDV,2024,4,17,2024-04-25,623121,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Accessoires,Orchidées,Roses premium,Grower A,Commande spéciale,Kenya,Blanc,4.75,9.66,2.03,44.19,9,86.94,42.75,Creditnota,42.75,86.94,44.19
Flora Holland,2024,3,10,2024-03-05,663192,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Lys,Tulipes premium,Grower C,Promotion,Kenya,Jaune,3.85,7.64,1.98,765.58,202,1543.28,777.7,Creditnota,777.7,1543.28,765.5799999999999
Tulip Export,2024,12,49,2024-12-07,687305,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Orchidées,Orchidées premium,Grower B,Stock,France,Jaune,6.47,13.71,2.12,267.88,37,507.27,239.39,Creditnota,239.39,507.27000000000004,267.88000000000005
Tulip Export,2024,9,37,2024-09-11,692344,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Accessoires,Bouquets mixtes,Orchidées premium,Grower C,Promotion,France,Mixte,3.82,7.35,1.92,81.19,23,169.05,87.86,Creditnota,87.86,169.04999999999998,81.18999999999998
Rose Africa,2024,1,4,2024-01-23,656016,CF0021,MONCEAU FLEURS LYON,Succursale,Plantes,Bouquets mixtes,Plantes vertes premium,Grower A,Réassort,Italie,Vert,3.97,5.93,1.49,72.52,37,219.41,146.89,Creditnota,146.89000000000001,219.41,72.51999999999998
Flora Holland,2024,9,38,2024-09-22,643184,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Roses,Tulipes premium,Grower A,Commande spéciale,Italie,Blanc,3.74,9.27,2.48,702.31,127,1177.29,474.98,Creditnota,474.98,1177.29,702.31
VDV,2024,12,51,2024-12-19,684225,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Accessoires,Plantes vertes,Orchidées premium,Grower A,Réassort,France,Vert,5.19,7.18,1.38,185.07,93,667.74,482.67,Creditnota,482.67,667.74,185.07
Tulip Export,2024,12,48,2024-12-01,644976,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Fleurs coupées,Plantes vertes,Roses premium,Grower D,Promotion,Pays-Bas,Rose,5.72,14.15,2.47,826.14,98,1386.7,560.56,Factuur,560.56,1386.7,826.1400000000001
Orchidées France,2024,9,36,2024-09-06,636753,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Fleurs coupées,Lys,Lys premium,Grower D,Stock,Espagne,Mixte,8.11,15.66,1.93,75.5,10,156.6,81.1,Creditnota,81.1,156.6,75.5
VDV,2024,7,28,2024-07-14,652617,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Lys,Tulipes premium,Grower D,Promotion,Italie,Rose,8.47,11.12,1.31,371.0,140,1556.8,1185.8,Creditnota,1185.8000000000002,1556.8,370.9999999999998
Orchidées France,2024,12,51,2024-12-21,650884,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Bouquets,Tulipes,Lys premium,Grower A,Promotion,Kenya,Vert,5.15,11.06,2.15,484.62,82,906.92,422.3,Creditnota,422.3,906.9200000000001,484.62000000000006
Orchidées France,2024,1,1,2024-01-04,608516,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Tulipes,Plantes vertes premium,Grower A,Commande spéciale,Kenya,Rouge,2.54,5.85,2.3,182.05,55,321.75,139.7,Factuur,139.7,321.75,182.05
Orchidées France,2024,1,4,2024-01-26,646079,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Accessoires,Roses,Bouquets mixtes premium,Grower B,Réassort,Kenya,Jaune,3.16,5.7,1.8,269.24,106,604.2,334.96,Factuur,334.96000000000004,604.2,269.24
Tulip Export,2024,1,3,2024-01-16,652266,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Plantes,Roses,Roses premium,Grower B,Commande spéciale,Kenya,Jaune,2.89,4.71,1.63,331.24,182,857.22,525.98,Creditnota,525.98,857.22,331.24
Flora Holland,2024,12,50,2024-12-09,616964,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Fleurs coupées,Tulipes,Orchidées premium,Grower C,Réassort,Italie,Mixte,2.56,4.17,1.63,32.2,20,83.4,51.2,Creditnota,51.2,83.4,32.2
Tulip Export,2024,4,14,2024-04-01,616083,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Orchidées,Bouquets mixtes premium,Grower D,Commande spéciale,Espagne,Rose,7.99,13.33,1.67,347.1,65,866.45,519.35,Creditnota,519.35,866.45,347.1
